Movie_Name,User_Score(%),Time,Date of Release,Genres,Director,Overview
Black Clover: Sword of the Wizard King,83.0,1h 53m,06/16/2023,"Animation , Fantasy , Action , Adventure",Ayataka Tanemura,"As a lionhearted boy who can’t wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom."
Spider-Man: Into the Spider-Verse,84.0,1h 57m,12/14/2018,"Action , Adventure , Animation , Science Fiction","Rodney Rothman,Peter Ramsey,Bob Persichetti","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension."
Los bastardos,61.0,,03/30/2023,"Action , Thriller , Crime , Drama",Pablo Yotich,We don't have an overview translated in English. Help us expand our database by adding one.
Spider-Man: No Way Home,80.0,2h 28m,12/17/2021,"Action , Adventure , Science Fiction",Jon Watts,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
PAW Patrol: The Movie,74.0,1h 26m,08/20/2021,"Animation , Family , Adventure , Comedy",Cal Brunker,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.
Scream VI,72.0,2h 3m,03/10/2023,"Horror , Mystery , Thriller","Tyler Gillett,Matt Bettinelli-Olpin","Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter."
Ghosted,71.0,2h,04/18/2023,"Action , Comedy , Romance",Dexter Fletcher,"Salt-of-the-earth Cole falls head over heels for enigmatic Sadie — but then makes the shocking discovery that she’s a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world."
It,72.0,2h 15m,09/08/2017,"Horror , Fantasy",Andy Muschietti,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise."
No Hard Feelings,66.0,1h 43m,06/23/2023,"Comedy , Romance",Gene Stupnitsky,"On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing."
Gold Brick,63.0,1h 35m,07/06/2023,"Comedy , Drama",Jérémie Rozan,"Determined to even the scales and profit from his thankless job, a factory worker schemes to traffic luxury perfumes from under his employer's nose."
Garfield,57.0,1h 20m,06/11/2004,"Animation , Comedy , Family",Peter Hewitt,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition."
Accident Man: Hitman's Holiday,65.0,1h 36m,10/24/2022,"Action , Comedy , Crime","Harry Kirby,George Kirby","The Accident Man is back, and this time he must best the top assassins in the world to protect the ungrateful son of a mafia boss, save the life of his only friend and rekindle his relationship with his maniacal father figure."
Black Panther: Wakanda Forever,72.0,2h 42m,11/11/2022,"Action , Adventure , Science Fiction",Ryan Coogler,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda."
Scooby-Doo! and the Witch's Ghost,73.0,1h 10m,11/05/1999,"Animation , Comedy , Mystery , Family , Fantasy",Jim Stenstrum,"Scooby-Doo and the Mystery Gang visit Oakhaven, Massachusetts to seek strange goings on involving a famous horror novelist and his ancestor who is rumored be a witch."
The Angry Black Girl and Her Monster,73.0,1h 31m,06/09/2023,Horror,Bomani J. Story,"Vicaria is a brilliant teenager who believes death is a disease that can be cured. After the brutal and sudden murder of her brother, she embarks on a dangerous journey to bring him back to life."
Suzume,79.0,2h 3m,11/11/2022,"Animation , Drama , Adventure , Fantasy",Makoto Shinkai,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right."
Sword Art Online the Movie -Progressive- Scherzo of Deep Night,76.0,1h 40m,10/22/2022,"Animation , Action , Fantasy , Science Fiction",Ayako Kono,"Over a month has passed since 10,000 users were trapped inside the ""Sword Art Online"" world. Asuna, who cleared the first floor of the floating iron castle of Aincrad, joined up with Kirito and continued her journey to reach the top floor. With the support of female Information Broker Argo, clearing the floors seemed to be progressing smoothly, but conflict erupts between two major guilds who should be working together – the top player groups ALS (the Aincrad Liberation Squad) and DKB (the Dragon Knights Brigade). And meanwhile, behind the scenes exists a mysterious figure pulling the strings…"
