Movie_Name,User_Score(%),Time,Date of Release,Genres,Director,Overview
Transformers: Rise of the Beasts,2h 7m,2h 7m,06/09/2023,"Action , Adventure , Science Fiction",Steven Caple Jr.,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth."
Guardians of the Galaxy Vol. 3,2h 30m,2h 30m,05/05/2023,"Science Fiction , Adventure , Action",James Gunn,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."
Fast X,2h 22m,2h 22m,05/19/2023,"Action , Crime , Thriller",Louis Leterrier,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever."
Knights of the Zodiac,1h 53m,1h 53m,04/28/2023,"Fantasy , Action , Adventure",Tomek Baginski,"When a headstrong street orphan, Seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?"
Sound of Freedom,2h 11m,2h 11m,07/04/2023,"Action , Drama",Alejandro Monteverde,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers."
San Andreas,1h 54m,1h 54m,05/29/2015,"Action , Drama , Thriller",Brad Peyton,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter."
Spider-Man: Across the Spider-Verse,2h 20m,2h 20m,06/02/2023,"Action , Adventure , Animation , Science Fiction","Joaquim Dos Santos,Kemp Powers,Justin K. Thompson","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most."
The Darkest Minds,1h 45m,1h 45m,08/03/2018,"Action , Adventure , Drama",Jennifer Yuh Nelson,"After a disease kills 98% of America's children, the surviving 2% develop superpowers and are placed in internment camps. A 16-year-old girl escapes her camp and joins a group of other teens on the run from the government."
The Super Mario Bros. Movie,1h 33m,1h 33m,04/05/2023,"Animation , Family , Adventure , Fantasy , Comedy","Aaron Horvath,Michael Jelenic","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi."
John Wick: Chapter 4,2h 50m,2h 50m,03/24/2023,"Action , Thriller , Crime",Chad Stahelski,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
